Dist,Fst,Pair,Pop,Orientation,Bay
8.88,0.011,GB-HB,Magnetic,Inter,
15.33,0.001,GB-HFB,Magnetic,Inter,
12.89,0.009,GB-MB,Magnetic,Inter,
8.03,0.01,GB-MR,Magnetic,South,
4.66,0.004,GB-PB,Magnetic,South,
14.28,0.011,GB-WB,Magnetic,Inter,
53.99,0.315,HaR-GB,Interpopulation,South,GB
73.81,0.314,SO-GB,Interpopulation,South,GB
77.84,0.316,LPB-GB,Interpopulation,South,GB
82.94,0.313,EP-GB,Interpopulation,South,GB
86.09,0.322,WP-GB,Interpopulation,South,GB
87.26,0.312,BRR-GB,Interpopulation,South,GB
62.65,0.316,JB-GB,Interpopulation,South,GB
60.82,0.306,KR-GB,Interpopulation,South,GB
5.42,0.001,HB-HFB,Magnetic,North,
3.51,0,HB-MB,Magnetic,North,
16.91,0.005,HB-MR,Magnetic,Inter,
13.54,0.01,HB-PB,Magnetic,Inter,
5.4,0,HB-WB,Magnetic,North,
42.83,0.325,HaR-HB,Interpopulation,North,HB
61.7,0.322,SO-HB,Interpopulation,North,HB
66.03,0.325,LPB-HB,Interpopulation,North,HB
72.59,0.322,EP-HB,Interpopulation,North,HB
75.11,0.334,WP-HB,Interpopulation,North,HB
78.57,0.323,BRR-HB,Interpopulation,North,HB
57.33,0.327,JB-HB,Interpopulation,North,HB
57.71,0.316,KR-HB,Interpopulation,North,HB
2.39,-0.003,HFB-MB,Magnetic,North,
12.6,0.008,HFB-MR,Magnetic,Inter,
14.02,0.005,HFB-PB,Magnetic,Inter,
1,0,HFB-WB,Magnetic,North,
39.77,0.317,HaR-HFB,Interpopulation,North,HFB
63.54,0.315,SO-HFB,Interpopulation,North,HFB
71.74,0.318,LPB-HFB,Interpopulation,North,HFB
73.83,0.315,EP-HFB,Interpopulation,North,HFB
80.1,0.327,WP-HFB,Interpopulation,North,HFB
78.55,0.314,BRR-HFB,Interpopulation,North,HFB
59.69,0.32,JB-HFB,Interpopulation,North,HFB
63.82,0.308,KR-HFB,Interpopulation,North,HFB
15.62,0.006,MB-MR,Magnetic,Inter,
16.03,0.005,MB-PB,Magnetic,Inter,
1.48,-0.001,MB-WB,Magnetic,North,
40.38,0.311,HaR-MB,Interpopulation,North,MB
66.29,0.31,SO-MB,Interpopulation,North,MB
72.88,0.313,LPB-MB,Interpopulation,North,MB
73.92,0.31,EP-MB,Interpopulation,North,MB
79.92,0.323,WP-MB,Interpopulation,North,MB
78.56,0.309,BRR-MB,Interpopulation,North,MB
58.49,0.313,JB-MB,Interpopulation,North,MB
61.7,0.302,KR-MB,Interpopulation,North,MB
3.37,0.011,MR-PB,Magnetic,South,
13.5,0.008,MR-WB,Magnetic,Inter,
47.3,0.324,HaR-MR,Interpopulation,South,MR
69.19,0.322,SO-MR,Interpopulation,South,MR
72.76,0.325,LPB-MR,Interpopulation,South,MR
82.2,0.322,EP-MR,Interpopulation,South,MR
82.39,0.335,WP-MR,Interpopulation,South,MR
87.93,0.322,BRR-MR,Interpopulation,South,MR
72.07,0.327,JB-MR,Interpopulation,South,MR
68.69,0.315,KR-MR,Interpopulation,South,MR
14.47,0.011,PB-WB,Magnetic,Inter,
49.34,0.321,HaR-PB,Interpopulation,South,PB
69.79,0.319,SO-PB,Interpopulation,South,PB
73.9,0.321,LPB-PB,Interpopulation,South,PB
86.76,0.319,EP-PB,Interpopulation,South,PB
83.93,0.329,WP-PB,Interpopulation,South,PB
90.23,0.319,BRR-PB,Interpopulation,South,PB
66.71,0.323,JB-PB,Interpopulation,South,PB
66.2,0.313,KR-PB,Interpopulation,South,PB
40.05,0.321,HaR-WB,Interpopulation,North,WB
60.82,0.318,SO-WB,Interpopulation,North,WB
64.48,0.321,LPB-WB,Interpopulation,North,WB
71.89,0.318,EP-WB,Interpopulation,North,WB
74.35,0.33,WP-WB,Interpopulation,North,WB
78.78,0.318,BRR-WB,Interpopulation,North,WB
59.48,0.324,JB-WB,Interpopulation,North,WB
61.18,0.313,KR-WB,Interpopulation,North,WB
22.74,0,SO-HaR,Adjacent,,
30.02,0,LPB-HaR,Adjacent,,
44.58,0.001,EP-HaR,Adjacent,,
36.27,0.001,WP-HaR,Adjacent,,
65.89,0.001,BRR-HaR,Adjacent,,
59.51,0.001,JB-HaR,Adjacent,,
77.26,0,KR-HaR,Adjacent,,
14.77,0.001,SO-EP,Adjacent,,
11,0,LPB-EP,Adjacent,,
4.96,-0.001,WP-EP,Adjacent,,
26.1,0.001,EP-BRR,Adjacent,,
58.58,0,JB-EP,Adjacent,,
83.83,-0.001,KR-EP,Adjacent,,
37.03,0,LPB-BRR,Adjacent,,
37.16,0.001,SO-BRR,Adjacent,,
28.05,0.002,WP-BRR,Adjacent,,
44.77,0,JB-BRR,Adjacent,,
70.63,-0.001,KR-BRR,Adjacent,,
26.1,0,KR-JB,Adjacent,,
70.59,0,LPB-JB,Adjacent,,
60.87,0,SO-JB,Adjacent,,
62.76,0.001,WP-JB,Adjacent,,
91.45,0,LPB-KR,Adjacent,,
84.17,0,SO-KR,Adjacent,,
87.89,-0.002,WP-KR,Adjacent,,
7.75,0,SO-LPB,Adjacent,,
7.49,0,WP-LPB,Adjacent,,
13.98,-0.001,SO-WP,Adjacent,,
